date,code,oneDayAfter(open)(reg),oneDayAfter(open)(reg),oneDay(close-open)(reg),oneDay(close-close)(reg),IXICClose-IXICOpen,GSPCClose-GSPCOpen,SOXClose-SOXOpen
2004-04-26,0000,-0,-0.0122387,-0.0106397,-0.0096136,-0.0076003,-0.0044649,-0.0278673,
2004-04-27,0000,-0,-0.0233339,-0.0093616,-0.0109586,-0.0039360,0.0022669,-0.0155019,
2004-04-28,0000,-0,-0.0242504,-0.0129283,-0.0269501,-0.0185470,-0.0139878,-0.0123943,
2004-04-29,0000,-0,-0.0374988,-0.0349194,-0.0464872,-0.0146520,-0.0076489,-0.0306784,
2004-04-30,0000,0,0.0011294,-0.0120784,-0.0146009,-0.0220504,-0.0059514,-0.0183097,
2004-05-03,0000,0,0.0131483,0.0127098,0.0255941,0.0051580,0.0091186,-0.0109783,
2004-05-04,0000,-0,-0.0420899,-0.0575088,-0.0570391,0.0041580,0.0018400,0.0165957,
2004-05-05,0000,-0,-0.0081301,-0.0052557,0.0094013,0.0011598,0.0017654,0.0087120,
2004-05-06,0000,0,0.0062027,0.0243897,0.0216001,-0.0041956,-0.0067685,0.0005083,
2004-05-07,0000,-0,-0.0126372,-0.0179689,-0.0369456,-0.0072473,-0.0139164,0.0099123,
2004-05-10,0000,0,0.0192344,0.0052053,0.0104156,-0.0045673,-0.0106520,0.0041185,
2004-05-11,0000,-0,-0.0070827,-0.0019752,0.0121552,0.0113133,0.0076042,0.0239285,
2004-05-12,0000,0,0.0002917,-0.0017708,-0.0068772,0.0006595,0.0016678,-0.0178610,
2004-05-13,0000,-0,-0.0528568,-0.0264794,-0.0243660,0.0038421,-0.0007661,-0.0050700,
2004-05-14,0000,-0,-0.0239863,-0.0272882,-0.0536863,-0.0095681,-0.0006754,-0.0190248,
2004-05-17,0000,0,0.0333100,0.0102633,0.0134445,-0.0023553,-0.0107001,-0.0135973,
2004-05-18,0000,0,0.0155364,0.0290756,0.0516843,0.0029139,0.0067706,0.0185724,
2004-05-19,0000,0,0.0096126,0.0060788,-0.0077812,-0.0102256,-0.0025811,0.0095688,
2004-05-20,0000,0,0.0154164,0.0216029,0.0250816,-0.0032638,0.0004682,-0.0085045,
2004-05-21,0000,-0,-0.0017542,0.0024604,-0.0038471,0.0010721,0.0039961,0.0093850,
2004-05-24,0000,0,0.0297531,0.0069314,0.0027356,-0.0009828,0.0016889,0.0051244,
2004-05-25,0000,-0,-0.0048740,-0.0118229,0.0114297,0.0222482,0.0158483,0.0307482,
2004-05-26,0000,0,0.0030030,-0.0059506,0.0009581,0.0075855,0.0016952,0.0063573,
2004-05-27,0000,0,0.0031050,0.0081518,0.0169799,0.0008718,0.0056543,0.0088505,
2004-05-28,0000,-0,-0.0191438,-0.0214710,-0.0266685,0.0006040,-0.0005354,0.0130917,
2004-06-01,0000,-0,-0.0003251,-0.0055041,-0.0188115,0.0061534,0.0004638,-0.0057813,
2004-06-02,0000,-0,-0.0421752,-0.0413721,-0.0360084,-0.0031172,0.0033689,-0.0230908,
2004-06-03,0000,0,0.0234241,0.0100980,0.0093347,-0.0120392,-0.0074778,-0.0251165,
2004-06-04,0000,0,0.0336354,0.0223743,0.0355351,-0.0020368,0.0052205,0.0158629,
2004-06-07,0000,-0,-0.0055022,-0.0030451,0.0085088,0.0143273,0.0157135,0.0354553,
2004-06-08,0000,-0,-0.0094947,-0.0010778,-0.0035302,0.0063305,0.0015409,0.0024315,
2004-06-09,0000,-0,-0.0187934,-0.0082573,-0.0167345,-0.0122726,-0.0095905,-0.0335354,
2004-06-10,0000,-0,-0.0093165,-0.0125125,-0.0230930,0.0015351,0.0045228,0.0057739,
2004-06-14,0000,0,0.0307418,0.0177491,0.0128239,-0.0090153,-0.0099352,-0.0232238,
2004-06-15,0000,-0,-0.0295024,-0.0291394,-0.0155265,0.0066095,0.0059363,0.0123700,
2004-06-16,0000,0,0.0125426,0.0187400,0.0183940,0.0005655,0.0013674,-0.0042831,
2004-06-17,0000,0,0.0066724,-0.0106854,-0.0170686,-0.0050512,-0.0013339,-0.0349550,
2004-06-18,0000,-0,-0.0133803,-0.0198091,-0.0022946,0.0045099,0.0026167,-0.0007946,
2004-06-21,0000,0,0.0301544,0.0240012,0.0301538,-0.0083267,-0.0041759,-0.0051246,
2004-06-23,0000,0,0.0003000,0.0023256,0.0086155,0.0143148,0.0084349,0.0208255,
2004-06-24,0000,0,0.0067578,0.0060611,0.0040431,-0.0022525,-0.0029895,-0.0119177,
2004-06-25,0000,-0,-0.0236042,-0.0169497,-0.0162369,0.0043101,-0.0054829,0.0170805,
2004-06-28,0000,0,0.0220949,0.0119829,0.0055177,-0.0094860,-0.0009529,-0.0179395,
2004-06-29,0000,0,0.0083508,0.0066017,0.0167687,0.0086391,0.0025084,0.0207722,
2004-06-30,0000,-0,-0.0194346,-0.0021981,-0.0004334,0.0046147,0.0040672,0.0095652,
2004-07-01,0000,-0,-0.0088983,0.0014756,-0.0156977,-0.0148744,-0.0105409,-0.0386699,
2004-07-02,0000,-0,-0.0021655,-0.0049172,-0.0153575,-0.0037027,-0.0031634,-0.0212547,
2004-07-06,0000,0,0.0174396,0.0146881,-0.0010109,-0.0159262,-0.0082153,-0.0413763,
2004-07-07,0000,-0,-0.0011975,-0.0053261,-0.0025186,0.0024719,0.0018957,0.0110796,
2004-07-08,0000,0,0.0112713,0.0070564,0.0111341,-0.0085102,-0.0083130,-0.0025059,
2004-07-09,0000,-0,-0.0147197,-0.0075728,-0.0032959,-0.0000822,0.0033249,0.0181540,
2004-07-12,0000,-0,-0.0040350,-0.0057356,-0.0128694,0.0003872,0.0013820,-0.0225758,
2004-07-13,0000,-0,-0.0177142,-0.0127231,-0.0110106,-0.0044780,0.0007084,-0.0017256,
2004-07-14,0000,-0,-0.0171104,-0.0096107,-0.0145865,0.0006006,-0.0033019,-0.0469240,
2004-07-15,0000,-0,-0.0033409,0.0000382,-0.0073899,-0.0038845,-0.0043192,-0.0051370,
2004-07-16,0000,-0,-0.0054751,0.0010002,-0.0023756,-0.0228553,-0.0048121,-0.0196609,
2004-07-19,0000,-0,-0.0121373,-0.0240476,-0.0306853,-0.0027763,-0.0004451,0.0067754,
2004-07-20,0000,-0,-0.0163745,0.0038417,0.0154276,0.0158471,0.0070084,0.0241103,
2004-07-21,0000,0,0.0131805,0.0160395,-0.0039291,-0.0312905,-0.0135207,-0.0384002,
